pdf_id,incremental_updates,eof_marker_count,metadata_anomaly_score,hidden_text_spans,white_text_spans,javascript_count,embedded_files_count,signature_gap_score,render_ela_suspicious_block_ratio,render_noise_hotspot_ratio,object_count,stream_entropy,xref_mismatch_score,font_switch_score,ocr_text_layer_gap,is_scanned_pdf,has_signature,hard_subtle_case,label
PDF_01340,1,1,43.38,1,3,0,0,4.53,0.3251,0.3333,171,5.404,24.84,21.83,69.41,1,0,0,0
PDF_01341,1,1,0.0,1,0,0,0,19.54,0.0679,0.171,74,5.676,2.28,0.0,5.95,0,1,0,0
PDF_01342,1,1,15.33,0,0,0,0,13.85,0.1136,0.0677,74,5.215,20.97,15.58,14.43,0,1,0,0
PDF_01343,0,2,38.5,4,3,0,0,32.63,0.1486,0.0741,123,6.304,30.58,29.98,13.81,0,0,0,0
PDF_01344,1,1,21.92,0,0,0,0,21.82,0.1523,0.3185,105,4.567,14.41,9.57,38.45,1,1,0,0
PDF_01345,2,1,50.41,1,1,1,0,37.7,0.1589,0.1628,125,6.458,0.0,24.16,22.82,0,1,0,0
PDF_01346,0,3,0.0,0,0,0,0,0.0,0.1302,0.3485,61,5.534,11.48,0.0,39.06,1,1,0,0
PDF_01347,1,1,0.0,1,1,0,0,0.0,0.0621,0.1751,93,5.787,0.0,0.0,14.02,0,0,0,0
PDF_01348,0,2,9.34,3,0,0,0,0.0,0.0,0.063,65,5.737,18.66,0.0,7.36,0,0,0,0
PDF_01349,0,1,23.6,4,2,1,0,6.13,0.1306,0.2404,96,5.96,16.14,12.76,34.19,0,1,0,0
PDF_01350,1,1,0.0,1,0,1,0,18.96,0.2081,0.3776,147,5.521,12.09,34.66,60.69,1,1,0,0
PDF_01351,2,1,30.36,0,1,0,0,4.85,0.0774,0.0506,116,6.622,0.0,24.54,5.91,0,0,0,0
PDF_01352,2,1,0.0,3,0,0,0,9.23,0.0,0.1526,88,4.775,0.61,0.0,0.0,0,1,0,0
PDF_01353,0,1,14.65,2,2,2,0,0.0,0.1624,0.311,119,4.89,0.0,10.24,64.62,1,1,0,0
PDF_01354,0,1,0.0,2,0,0,0,0.0,0.0,0.0284,5,5.249,0.0,0.0,0.0,0,1,0,0
PDF_01355,1,2,43.06,5,2,0,0,28.85,0.1594,0.2166,105,5.667,22.85,46.63,23.04,0,0,0,0
PDF_01356,1,1,39.65,3,4,2,0,21.54,0.0948,0.1144,155,5.605,25.67,35.79,25.81,0,1,0,0
PDF_01357,0,1,10.28,1,2,0,0,6.68,0.1789,0.1437,89,4.797,26.31,34.59,17.88,0,0,0,0
PDF_01358,0,4,52.28,4,2,0,0,35.84,0.2254,0.1222,158,5.904,3.56,50.29,22.11,0,1,0,0
PDF_01359,0,1,0.0,2,0,1,1,0.0,0.0,0.0683,16,6.111,0.0,0.0,0.0,0,0,0,0
PDF_01360,1,2,33.97,2,3,0,0,11.64,0.0584,0.145,105,5.945,0.0,46.44,22.75,0,1,0,0
PDF_01361,2,1,27.41,1,4,0,0,13.62,0.1102,0.1544,100,5.74,32.21,35.52,18.66,0,1,0,0
PDF_01362,1,1,33.38,0,2,0,0,10.9,0.1011,0.1663,43,6.008,0.0,13.38,6.3,0,1,0,0
PDF_01363,0,1,0.0,0,3,2,0,0.0,0.0386,0.0598,55,5.12,0.19,0.0,11.5,0,0,0,0
PDF_01364,1,1,0.0,0,0,1,0,0.0,0.0,0.0743,5,5.595,0.0,0.0,0.0,0,0,0,0
PDF_01365,0,1,1.46,0,0,0,0,7.31,0.1861,0.3435,158,6.023,12.18,19.01,49.45,1,1,0,0
PDF_01366,1,1,0.0,0,0,0,0,0.0,0.1989,0.3236,89,5.79,7.28,0.0,34.96,1,0,0,0
PDF_01367,1,1,23.78,4,5,0,0,27.65,0.1248,0.0764,130,5.737,22.2,28.43,20.43,0,0,0,0
PDF_01368,2,3,68.11,7,4,2,0,51.2,0.2841,0.2579,175,5.442,45.76,75.17,33.08,0,0,0,0
PDF_01369,0,1,17.46,3,5,0,0,0.0,0.0113,0.0791,97,5.924,26.09,11.5,3.83,0,0,0,0
PDF_01370,0,1,21.14,5,0,0,0,21.2,0.24,0.3034,156,6.114,33.35,20.69,67.89,1,1,0,0
PDF_01371,0,1,10.79,3,0,0,0,8.42,0.0839,0.2113,95,4.687,0.0,0.0,27.62,1,1,0,0
PDF_01372,2,2,33.34,0,2,2,0,18.8,0.2596,0.3001,113,5.577,27.12,65.26,74.33,1,0,0,0
PDF_01373,1,1,28.73,1,0,1,0,5.7,0.1606,0.2862,86,4.798,0.0,3.85,68.81,1,0,0,0
PDF_01374,0,1,0.0,0,0,1,0,0.0,0.1188,0.0,63,5.163,0.0,1.54,8.75,0,0,0,0
PDF_01375,0,1,17.35,0,0,0,0,14.34,0.1905,0.3485,83,5.519,0.0,3.67,53.94,1,0,0,0
PDF_01376,2,1,25.45,3,4,1,0,10.2,0.0747,0.1442,110,5.205,21.38,13.59,25.75,0,0,0,0
PDF_01377,1,1,13.04,0,0,0,0,0.0,0.0495,0.0973,52,6.459,0.09,0.0,0.0,0,1,0,0
PDF_01378,0,1,0.0,0,1,0,0,0.0,0.0044,0.093,60,5.957,0.0,0.0,12.5,0,1,0,0
PDF_01379,0,1,16.3,4,0,1,0,25.28,0.1064,0.1491,100,5.635,0.0,23.24,7.33,0,1,0,0
PDF_01380,1,2,0.0,0,0,1,0,0.0,0.0,0.0487,72,4.888,0.0,0.0,0.0,0,1,0,0
PDF_01381,1,2,3.91,0,4,0,0,0.0,0.057,0.1416,85,4.448,11.2,0.0,4.35,0,0,0,0
PDF_01382,0,1,3.32,0,1,0,0,14.17,0.1673,0.3432,107,4.634,10.0,0.0,46.33,1,0,0,0
PDF_01383,1,1,18.29,0,0,1,0,0.0,0.1565,0.3229,134,4.557,11.89,28.68,66.37,1,0,0,0
PDF_01384,2,3,47.69,4,5,1,0,36.74,0.3029,0.4596,141,4.876,29.72,27.11,58.93,1,1,0,0
PDF_01385,1,2,29.64,2,0,1,0,42.93,0.149,0.1826,81,5.123,20.0,16.62,8.3,0,0,0,0
PDF_01386,1,2,9.01,1,3,0,0,0.0,0.1219,0.282,30,4.858,0.0,0.0,36.9,1,0,0,0
PDF_01387,1,1,17.18,0,3,0,0,0.0,0.1783,0.3349,81,4.954,19.75,0.0,54.82,1,0,0,0
PDF_01388,1,2,49.98,7,6,1,0,26.82,0.1438,0.1198,143,5.076,29.0,50.19,28.72,0,0,0,0
PDF_01389,1,1,15.7,3,4,0,0,5.02,0.0965,0.0918,104,6.003,2.07,24.64,14.95,0,0,0,0
PDF_01390,0,2,0.0,0,0,0,0,0.0,0.0,0.001,5,4.762,0.0,0.0,0.0,0,0,0,0
PDF_01391,0,1,31.46,0,1,0,0,5.82,0.1894,0.3424,111,5.291,7.29,24.64,64.23,1,0,0,0
PDF_01392,0,1,33.73,0,3,0,0,0.0,0.128,0.0587,103,5.623,3.57,0.0,11.39,0,0,0,0
PDF_01393,1,2,64.12,4,6,1,0,36.32,0.1866,0.2103,151,6.324,21.34,71.84,25.46,0,0,0,0
PDF_01394,0,2,13.03,5,4,1,0,0.0,0.1731,0.2817,104,5.784,8.61,5.94,49.39,1,0,0,0
PDF_01395,0,2,39.6,3,0,0,0,4.55,0.2403,0.3355,121,5.7,0.3,41.77,51.67,1,0,0,0
PDF_01396,0,2,0.0,0,0,0,0,0.0,0.0984,0.1992,64,4.809,8.99,14.96,49.84,1,0,0,0
PDF_01397,1,1,0.0,1,0,0,0,0.0,0.054,0.2581,87,5.307,0.0,0.0,51.19,1,0,0,0
PDF_01398,0,1,14.09,1,4,1,0,0.0,0.0553,0.2204,90,4.764,22.63,13.13,6.99,0,0,0,0
PDF_01399,0,2,11.15,0,0,1,0,20.86,0.0468,0.1031,62,6.325,39.35,0.0,15.74,0,0,0,0
PDF_01400,1,1,35.45,2,0,1,0,0.04,0.2463,0.4658,158,5.802,28.0,12.26,59.76,1,0,0,0
PDF_01401,1,2,11.92,1,1,1,0,3.08,0.0821,0.164,81,6.27,0.0,0.97,0.0,0,0,0,0
PDF_01402,0,1,22.06,0,3,0,0,0.0,0.1448,0.1371,124,4.977,16.61,15.19,13.1,0,0,0,0
PDF_01403,0,1,6.22,0,0,0,0,11.24,0.2556,0.3933,132,4.627,4.22,32.28,61.44,1,0,0,0
PDF_01404,0,1,15.08,3,2,0,0,0.0,0.1552,0.3784,78,4.66,2.91,7.69,48.11,1,0,0,0
PDF_01405,0,1,0.0,0,0,1,0,0.0,0.0794,0.2769,70,5.19,0.0,0.0,47.53,1,1,0,0
PDF_01406,0,1,0.0,0,0,0,0,6.45,0.0211,0.1274,98,6.493,0.0,0.0,3.11,0,1,0,0
PDF_01407,0,1,0.0,1,1,0,0,17.65,0.1941,0.336,63,5.189,0.0,0.0,52.11,1,0,0,0
PDF_01408,1,2,20.62,3,0,0,0,5.28,0.188,0.2966,141,5.806,3.95,47.41,47.95,1,1,0,0
PDF_01409,0,1,0.0,1,4,0,0,0.0,0.0198,0.1266,48,5.746,0.0,4.44,0.0,0,1,0,0
PDF_01410,0,1,0.0,1,0,0,0,0.0,0.0005,0.1311,74,3.555,8.3,2.75,0.37,0,0,0,0
PDF_01411,1,1,35.73,3,5,0,0,5.93,0.1174,0.1974,89,5.196,27.55,18.14,19.15,0,0,0,0
PDF_01412,1,1,0.0,0,0,0,0,0.0,0.0195,0.0711,62,4.122,0.0,0.0,7.12,0,0,0,0
PDF_01413,0,1,0.0,0,1,0,0,0.0,0.0299,0.0476,83,5.01,0.0,0.0,0.0,0,0,0,0
PDF_01414,1,2,22.31,1,0,0,0,34.94,0.0947,0.1542,64,5.881,2.4,7.38,0.0,0,1,0,0
PDF_01415,0,1,0.0,0,0,0,0,0.0,0.0552,0.0975,101,4.794,0.0,0.0,0.32,0,0,0,0
PDF_01416,1,1,15.47,0,0,0,1,0.0,0.1496,0.3151,91,5.095,18.95,29.28,51.77,1,0,0,0
PDF_01417,1,1,0.0,0,2,0,0,6.23,0.0666,0.1471,68,5.772,1.28,14.96,14.77,0,1,0,0
PDF_01418,0,1,0.0,0,0,1,0,0.0,0.0177,0.2185,22,4.083,0.0,0.0,43.07,1,1,0,0
PDF_01419,0,1,0.0,3,1,0,0,0.0,0.0117,0.0042,11,4.72,0.0,0.0,0.0,0,0,0,0
PDF_01420,1,1,0.0,3,1,0,0,0.0,0.0,0.0684,70,5.556,0.0,0.0,15.14,0,0,0,0
PDF_01421,0,1,12.25,1,0,0,0,0.0,0.0772,0.1273,88,5.33,0.0,4.87,4.57,0,0,0,0
PDF_01422,0,1,2.51,0,0,0,0,0.12,0.0366,0.1157,62,5.022,14.04,14.95,12.51,0,0,0,0
PDF_01423,1,1,0.0,3,1,1,0,0.0,0.0593,0.0853,57,5.149,0.0,6.16,0.0,0,0,0,0
PDF_01424,0,1,0.0,2,5,0,0,0.0,0.1477,0.3591,62,5.467,0.0,0.0,50.36,1,0,0,0
PDF_01425,1,2,0.0,0,0,0,0,0.0,0.0,0.1531,95,4.299,0.0,3.55,2.93,0,0,0,0
PDF_01426,0,1,6.97,0,3,0,0,0.0,0.0633,0.1399,38,4.931,0.0,9.96,7.93,0,1,0,0
PDF_01427,0,1,0.0,0,3,0,0,0.0,0.0,0.1105,62,6.177,0.0,0.0,0.0,0,0,0,0
PDF_01428,1,3,38.32,5,6,2,0,13.84,0.1268,0.1444,126,5.98,41.86,42.38,17.57,0,0,0,0
PDF_01429,1,1,5.5,0,3,1,0,0.0,0.0816,0.0256,82,5.83,0.0,0.0,0.0,0,0,0,0
PDF_01430,1,2,0.0,2,1,0,0,0.0,0.0152,0.1734,50,5.407,15.33,0.0,0.0,0,0,0,0
PDF_01431,0,1,11.75,0,0,1,0,13.67,0.0934,0.1406,101,5.416,3.98,7.16,3.96,0,1,0,0
PDF_01432,1,1,30.71,0,1,0,0,10.41,0.0739,0.0994,146,6.43,19.88,26.35,18.93,0,0,0,0
PDF_01433,0,3,23.05,0,5,0,0,0.62,0.1688,0.1651,100,6.07,33.52,47.3,33.91,0,0,0,0
PDF_01434,1,1,2.79,3,0,0,0,0.0,0.0,0.1033,99,4.684,0.0,9.05,0.55,0,0,0,0
PDF_01435,0,1,0.0,6,0,1,0,17.71,0.1792,0.2256,83,5.787,0.0,0.0,45.95,1,1,0,0
PDF_01436,0,2,0.0,1,0,0,0,0.0,0.0179,0.3163,82,4.518,0.0,0.0,60.8,1,1,0,0
PDF_01437,3,3,51.55,2,3,2,0,21.48,0.2013,0.2451,76,5.464,27.98,41.47,26.37,0,0,0,0
PDF_01438,0,1,19.2,1,0,0,0,0.0,0.0138,0.1094,65,5.557,9.95,0.0,0.0,0,1,0,0
PDF_01439,0,2,21.03,6,0,1,0,13.36,0.094,0.1196,121,5.074,10.91,15.72,15.78,0,0,0,0
PDF_01440,0,1,11.32,0,0,0,0,8.49,0.029,0.0715,65,5.697,0.0,0.0,9.55,0,0,0,0
PDF_01441,2,2,0.0,1,3,0,0,0.0,0.0101,0.1447,18,5.342,0.72,0.0,0.44,0,0,0,0
PDF_01442,1,1,33.03,3,2,2,0,25.4,0.1249,0.1577,137,7.057,29.08,37.93,6.05,0,0,0,0
PDF_01443,1,3,28.96,6,0,0,0,0.0,0.1649,0.1912,82,4.948,5.02,37.46,7.66,0,0,0,0
PDF_01444,1,1,28.52,3,4,0,0,0.0,0.1619,0.1357,97,6.552,15.38,12.18,6.67,0,0,0,0
PDF_01445,1,2,36.13,6,9,1,0,25.3,0.2491,0.3706,210,5.844,29.96,64.73,60.09,1,0,0,0
PDF_01446,0,2,21.27,5,0,0,0,5.85,0.1916,0.2846,93,5.616,8.36,27.09,54.85,1,0,0,0
PDF_01447,1,2,0.0,0,0,0,0,0.0,0.0825,0.0966,49,6.09,0.0,0.0,0.0,0,0,0,0
PDF_01448,0,1,0.0,5,0,0,0,14.57,0.0,0.1037,5,4.074,0.0,0.0,0.0,0,0,0,0
PDF_01449,1,2,0.0,1,0,0,0,0.0,0.1362,0.2464,103,5.854,0.0,8.7,48.41,1,0,0,0
PDF_01450,0,1,7.3,2,1,1,1,8.13,0.0963,0.0962,44,4.268,0.25,0.0,11.71,0,1,0,0
PDF_01451,0,1,11.83,2,2,0,0,0.0,0.0258,0.163,28,5.369,16.61,16.49,11.91,0,1,0,0
PDF_01452,0,1,27.54,1,1,0,0,3.0,0.2157,0.3286,160,6.411,18.53,51.62,75.63,1,1,0,0
PDF_01453,0,1,10.49,0,5,0,0,0.0,0.2396,0.4103,52,6.003,1.08,0.0,57.34,1,0,0,0
PDF_01454,0,2,0.0,0,5,0,0,15.25,0.1473,0.0511,67,6.18,17.32,22.52,13.02,0,0,0,0
PDF_01455,2,2,12.87,1,7,0,0,18.85,0.2363,0.3331,156,5.834,26.06,40.12,63.32,1,1,0,0
PDF_01456,0,1,10.12,1,0,1,0,8.81,0.1789,0.3109,179,5.28,29.26,18.46,61.61,1,1,0,0
PDF_01457,1,1,20.6,2,2,0,0,12.46,0.227,0.3327,89,4.918,8.17,18.55,56.18,1,0,0,0
PDF_01458,1,2,30.04,2,2,0,0,11.02,0.0573,0.1313,98,5.564,29.45,29.67,15.13,0,1,0,0
PDF_01459,0,1,0.0,2,0,0,0,0.0,0.1324,0.0681,67,4.879,0.0,6.75,3.72,0,0,0,0
PDF_01460,0,2,0.95,0,2,0,1,0.0,0.1102,0.096,33,5.243,0.82,8.33,5.35,0,0,0,0
PDF_01461,0,1,17.97,3,0,0,0,22.26,0.2334,0.2547,79,5.318,7.35,6.05,56.8,1,0,0,0
PDF_01462,0,1,17.02,0,0,0,0,0.0,0.218,0.2742,103,4.561,10.84,21.45,51.04,1,0,0,0
PDF_01463,0,1,19.34,4,1,0,0,11.53,0.1457,0.2665,101,5.374,24.16,25.4,69.22,1,0,0,0
PDF_01464,1,1,0.0,0,0,0,0,0.0,0.0616,0.0355,67,4.941,0.0,0.0,0.0,0,1,0,0
PDF_01465,1,1,5.23,1,0,0,1,0.0,0.1534,0.212,130,5.618,11.77,24.8,66.24,1,0,0,0
PDF_01466,1,1,0.0,0,3,0,0,0.0,0.0,0.0447,5,4.574,0.0,0.0,0.92,0,0,0,0
PDF_01467,0,1,13.39,2,0,1,0,14.74,0.0424,0.1123,65,5.916,11.83,12.23,12.06,0,0,0,0
PDF_01468,0,3,0.0,3,4,0,0,3.78,0.0424,0.0673,43,3.904,0.0,5.99,10.79,0,1,0,0
PDF_01469,0,1,19.17,4,3,1,0,0.0,0.1103,0.0573,85,5.322,0.0,30.78,14.13,0,0,0,0
PDF_01470,1,1,28.53,1,3,0,0,18.65,0.2762,0.4232,108,5.485,19.18,35.75,48.43,1,1,0,0
PDF_01471,0,1,0.0,0,0,0,0,0.0,0.0487,0.1779,50,5.001,0.0,0.0,3.45,0,0,0,0
PDF_01472,0,1,37.81,2,3,0,0,24.48,0.207,0.3983,101,5.377,11.13,6.06,77.42,1,0,0,0
PDF_01473,0,1,0.0,0,0,1,0,0.0,0.0102,0.1043,10,4.61,0.0,10.39,0.0,0,0,0,0
PDF_01474,0,2,10.42,3,1,0,0,0.0,0.041,0.1673,60,5.38,0.0,0.0,0.0,0,0,0,0
PDF_01475,1,1,0.0,0,2,0,0,1.81,0.1573,0.2718,100,6.219,0.0,0.0,45.37,1,0,0,0
PDF_01476,1,1,0.0,0,0,0,0,0.0,0.1234,0.3055,40,5.526,8.06,0.0,40.99,1,0,0,0
PDF_01477,1,1,35.25,0,3,0,0,17.3,0.1063,0.143,109,4.492,2.52,4.75,18.48,0,1,0,0
PDF_01478,1,1,0.0,0,0,0,0,0.0,0.0,0.1208,39,4.655,0.0,0.0,0.0,0,1,0,0
PDF_01479,1,2,38.84,0,2,0,0,0.0,0.0898,0.119,87,5.078,21.83,16.41,2.08,0,0,0,0
PDF_01480,0,1,25.83,1,4,0,0,0.0,0.0657,0.1105,73,4.762,5.52,16.31,3.48,0,0,0,0
PDF_01481,0,1,17.68,2,0,2,1,10.96,0.1097,0.1731,110,4.823,0.0,14.01,24.7,0,0,0,0
PDF_01482,0,2,14.54,0,1,1,0,0.0,0.09,0.1355,102,5.46,0.0,0.0,5.82,0,0,0,0
PDF_01483,0,1,0.0,0,2,0,0,0.0,0.0,0.0253,36,5.605,0.0,0.0,0.0,0,1,0,0
PDF_01484,0,1,26.21,0,1,1,0,25.23,0.1372,0.1308,94,5.451,8.55,16.5,6.23,0,0,0,0
PDF_01485,2,1,6.21,2,0,0,0,0.0,0.0987,0.356,120,4.965,0.0,24.01,51.25,1,0,0,0
PDF_01486,0,1,11.4,0,3,1,0,17.47,0.0563,0.1871,103,5.821,24.32,0.0,16.28,0,0,0,0
PDF_01487,0,2,48.32,5,0,1,0,21.08,0.2817,0.2996,131,5.99,27.54,36.78,74.94,1,0,0,0
PDF_01488,0,2,14.7,0,0,0,1,0.0,0.1401,0.1216,108,6.005,0.43,19.9,4.91,0,0,0,0
PDF_01489,1,1,0.0,0,1,0,0,0.0,0.0,0.0819,38,5.417,1.98,7.18,2.19,0,1,0,0
PDF_01490,0,1,17.71,3,2,0,0,0.0,0.0746,0.075,98,5.202,0.0,9.08,13.21,0,1,0,0
PDF_01491,1,1,0.0,1,0,0,0,1.03,0.1363,0.2516,83,5.429,21.78,0.0,46.83,1,0,0,0
PDF_01492,0,2,0.0,1,0,0,0,0.0,0.0803,0.2429,122,5.734,0.0,0.0,39.46,1,0,0,0
PDF_01493,0,2,33.4,0,0,1,0,10.98,0.2753,0.4027,134,5.69,27.12,20.8,67.3,1,0,0,0
PDF_01494,1,2,41.52,3,3,1,0,3.88,0.2305,0.3629,88,5.345,15.78,0.0,62.56,1,0,0,0
PDF_01495,1,2,12.77,2,1,0,0,3.4,0.075,0.1004,133,4.87,15.85,3.98,15.3,0,0,0,0
PDF_01496,1,1,0.0,1,0,1,0,0.0,0.0706,0.0382,55,5.578,0.0,0.0,7.72,0,0,0,0
PDF_01497,0,2,12.3,1,0,0,0,0.0,0.1604,0.4408,113,5.632,14.8,2.06,62.4,1,0,0,0
PDF_01498,1,2,0.0,0,0,0,0,0.0,0.2089,0.3288,90,4.958,0.18,6.02,54.01,1,1,0,0
PDF_01499,0,2,20.68,5,2,0,0,9.24,0.0662,0.1099,123,6.182,0.0,23.38,20.18,0,0,0,0
PDF_01500,2,1,25.19,0,3,1,0,13.64,0.3073,0.293,54,4.767,0.0,33.48,53.75,1,0,0,0
PDF_01501,0,1,10.01,0,1,0,0,16.84,0.0866,0.0594,72,5.352,0.0,25.61,4.18,0,1,0,0
PDF_01502,0,1,0.0,0,0,0,0,0.0,0.0,0.0969,72,5.778,0.0,0.0,2.9,0,0,0,0
PDF_01503,0,2,17.27,0,1,1,0,9.33,0.24,0.4079,112,4.768,6.11,21.97,43.33,1,1,0,0
PDF_01504,2,1,4.49,1,0,0,0,0.0,0.1918,0.279,82,5.105,0.0,1.75,45.38,1,0,0,0
PDF_01505,0,2,11.08,2,0,0,0,9.81,0.0405,0.1378,78,5.034,0.43,19.75,7.76,0,1,0,0
PDF_01506,1,2,9.43,2,2,0,0,6.87,0.1541,0.4541,115,4.879,12.13,0.0,42.7,1,1,0,0
PDF_01507,2,1,39.96,4,4,0,0,0.0,0.192,0.2109,149,6.544,19.55,20.05,11.3,0,0,0,0
PDF_01508,0,2,19.2,2,2,2,0,31.44,0.2416,0.4323,175,6.05,14.05,37.52,76.64,1,0,0,0
PDF_01509,2,2,0.0,1,0,1,0,0.0,0.0067,0.1466,78,4.48,0.0,0.0,0.0,0,0,0,0
PDF_01510,1,2,15.92,5,1,1,0,0.0,0.0844,0.1145,87,5.668,0.7,23.74,21.16,0,1,0,0
PDF_01511,1,3,31.55,3,5,0,0,33.2,0.1072,0.1561,69,5.617,30.43,34.44,0.0,0,0,0,0
PDF_01512,0,1,18.47,3,1,0,0,16.99,0.1955,0.3318,115,5.637,14.15,34.54,68.42,1,0,0,0
PDF_01513,0,1,29.78,3,3,0,0,6.56,0.1405,0.1533,162,5.539,26.97,43.21,20.04,0,1,0,0
PDF_01514,0,1,7.26,2,3,1,0,0.0,0.0828,0.0835,113,5.823,4.0,0.0,0.55,0,0,0,0
PDF_01515,0,2,7.46,1,5,2,0,8.47,0.084,0.0934,120,5.682,12.75,3.74,0.0,0,0,0,0
PDF_01516,1,1,0.0,0,1,1,0,0.0,0.0829,0.1005,32,5.299,5.67,0.0,8.44,0,1,0,0
PDF_01517,0,1,32.24,4,3,0,0,20.45,0.1184,0.1038,110,6.021,24.17,33.58,18.37,0,0,0,0
PDF_01518,1,2,7.39,2,2,0,0,6.69,0.0408,0.0572,71,6.0,0.0,8.9,0.0,0,0,0,0
PDF_01519,2,1,20.64,0,0,0,0,2.82,0.1609,0.2868,94,4.153,16.96,5.88,57.08,1,0,0,0
PDF_01520,2,1,18.57,0,0,0,0,13.24,0.2026,0.3119,113,5.076,0.0,12.96,58.89,1,0,0,0
PDF_01521,0,2,0.0,0,2,0,0,0.0,0.0886,0.3191,62,5.294,0.0,0.0,31.12,1,1,0,0
PDF_01522,0,2,8.28,3,0,1,0,0.0,0.1987,0.3332,60,4.548,15.67,0.0,55.32,1,0,0,0
PDF_01523,0,1,0.0,0,0,1,0,0.0,0.0365,0.0191,54,6.185,0.0,0.0,0.0,0,0,0,0
PDF_01524,1,1,6.12,3,2,0,0,8.68,0.2053,0.358,160,6.69,16.39,25.28,69.18,1,0,0,0
PDF_01525,1,1,17.52,0,2,0,0,0.0,0.1016,0.1386,31,5.514,0.0,15.8,3.14,0,0,0,0
PDF_01526,0,1,14.53,2,0,0,0,0.0,0.0658,0.171,81,4.689,19.93,0.0,9.93,0,1,0,0
PDF_01527,1,1,0.0,2,2,0,0,0.0,0.0115,0.0987,58,4.728,0.0,0.0,17.25,0,1,0,0
PDF_01528,0,1,27.86,6,5,2,0,12.12,0.1492,0.1246,76,6.5,1.29,28.72,14.69,0,0,0,0
PDF_01529,2,2,47.99,3,2,0,0,20.54,0.2911,0.4245,162,4.945,46.32,64.89,63.47,1,0,0,0
PDF_01530,0,1,0.0,0,2,0,0,0.0,0.1164,0.283,90,4.725,0.0,0.0,61.58,1,0,0,0
PDF_01531,1,1,0.0,1,0,0,0,0.0,0.1541,0.3046,147,5.862,23.5,0.0,61.73,1,0,0,0
PDF_01532,0,1,4.38,3,1,1,0,0.0,0.0729,0.0261,31,4.336,0.0,20.45,0.0,0,0,0,0
PDF_01533,0,1,15.43,3,0,1,0,0.0,0.1779,0.3074,102,4.575,1.55,23.06,45.4,1,1,0,0
PDF_01534,1,1,0.0,2,3,1,0,0.0,0.1003,0.2407,36,6.026,0.0,0.0,44.21,1,0,0,0
PDF_01535,0,1,0.0,1,0,1,0,0.0,0.024,0.0481,76,6.46,0.0,0.0,0.0,0,0,0,0
PDF_01536,2,1,0.0,0,2,0,0,0.0,0.0,0.0,5,4.408,0.0,0.0,0.02,0,0,0,0
PDF_01537,0,2,0.0,0,0,2,0,0.0,0.0934,0.196,40,5.405,0.0,0.0,41.99,1,0,0,0
PDF_01538,1,2,0.51,0,0,1,0,0.0,0.0759,0.108,78,4.565,0.0,0.0,19.33,0,1,0,0
PDF_01539,0,2,13.89,0,0,0,0,0.0,0.2232,0.3377,140,5.257,0.0,20.3,63.32,1,0,0,0
PDF_01540,1,1,47.91,4,5,1,0,37.45,0.1297,0.1047,153,5.188,11.06,57.14,31.35,0,0,0,0
PDF_01541,0,1,9.91,2,2,0,0,0.0,0.179,0.218,81,4.876,0.0,12.71,56.35,1,0,0,0
PDF_01542,0,2,27.29,4,1,0,0,0.0,0.1254,0.1391,103,5.402,8.28,33.93,7.46,0,0,0,0
PDF_01543,0,2,17.32,0,0,0,0,0.0,0.0602,0.014,108,4.339,19.67,10.92,7.71,0,0,0,0
PDF_01544,0,2,0.0,1,0,0,0,0.0,0.0251,0.0908,53,4.978,0.0,0.0,0.0,0,0,0,0
PDF_01545,1,2,19.58,2,1,1,0,15.13,0.0906,0.1449,102,5.981,19.22,7.14,20.28,0,0,0,0
PDF_01546,1,1,15.42,0,2,1,0,0.0,0.0,0.0577,85,5.177,13.53,9.04,0.0,0,1,0,0
PDF_01547,0,1,20.15,1,1,0,0,0.0,0.1466,0.0608,112,4.909,28.76,17.15,7.2,0,0,0,0
PDF_01548,0,1,0.0,3,1,0,0,0.0,0.0303,0.0654,56,5.836,0.0,7.94,7.94,0,0,0,0
PDF_01549,0,1,42.29,4,2,1,0,37.41,0.1856,0.2695,118,6.413,29.23,33.5,28.56,0,0,0,0
PDF_01550,0,2,0.0,1,2,0,0,11.56,0.0498,0.1007,121,5.396,0.0,6.91,12.36,0,1,0,0
PDF_01551,0,1,25.35,2,1,0,0,0.0,0.1111,0.2928,120,5.506,28.18,23.99,60.26,1,1,0,0
PDF_01552,1,1,0.0,1,0,1,0,0.0,0.0036,0.0,57,5.219,0.0,0.0,13.08,0,0,0,0
PDF_01553,1,1,28.3,0,0,0,0,0.0,0.1399,0.1733,107,5.624,7.5,10.5,12.22,0,0,0,0
PDF_01554,1,2,11.01,0,0,1,0,0.0,0.1559,0.2799,98,5.792,0.0,0.0,65.69,1,0,0,0
PDF_01555,2,1,0.0,0,0,0,0,0.0,0.1505,0.3268,73,5.08,16.81,0.0,46.41,1,0,0,0
PDF_01556,0,2,26.14,3,1,0,1,0.0,0.0716,0.1514,81,5.596,0.0,10.92,3.43,0,0,0,0
PDF_01557,0,1,0.0,1,0,0,0,0.0,0.0,0.0458,69,4.948,0.0,0.0,0.0,0,0,0,0
PDF_01558,0,1,40.11,2,0,1,0,7.06,0.1897,0.3571,129,5.279,13.46,17.09,78.45,1,0,0,0
PDF_01559,1,2,36.99,4,1,0,0,10.11,0.323,0.4285,151,4.728,13.9,24.57,79.48,1,0,0,0
